410,157,/
454,-272,*
-244,-221,+
309,15,**
413,-104,/
-415,9,/
24,457,*
-103,395,+
451,250,/
42,38,**
-356,374,-
3,13,^
13,-458,*
-295,15,^
298,396,-
-312,-337,/
170,288,*
229,492,-
27,9,^
86,408,*
174,11,**
-346,181,-
25,11,^
-177,243,-
137,14,**
-401,4,/
-171,-260,-
176,436,-
397,15,**
-217,315,+
-305,336,*
388,-498,/
6,-470,-
-275,406,-
311,-249,-
356,386,/
-110,-98,*
-82,-267,-
-163,253,*
-499,-134,*
496,-292,-
254,102,/
362,-68,*
-403,-418,/
-195,-423,/
163,165,/
158,342,-
-64,12,**
-461,103,/
-284,62,^
-396,75,**
-103,137,-
162,-158,-
-246,-126,-
147,-256,/
22,6,**
-52,-312,-
488,4,^
-115,5,**
-447,11,^
446,490,-
-325,80,*
-316,13,**
205,151,*
-84,-81,*
-421,11,**
39,10,**
343,5,**
399,-161,-
82,214,-
84,477,/
-311,256,*
0,-191,*
-445,75,**
163,6,**
372,229,/
-12,-72,/
-497,96,*
-278,-248,-
269,-153,/
113,482,*
-190,-398,*
-408,-91,/
118,-473,-
230,198,-
329,-64,/
-108,191,+
-12,10,**
72,14,^
81,313,+
486,5,^
-460,187,/
-396,9,^
-204,-344,+
-466,-261,*
-381,-108,-
418,-360,*
-200,-260,*
-475,157,/
319,13,**
416,73,*
2,-333,+
211,-144,-
-341,8,^
-127,-167,*
300,-276,*
362,308,-
395,7,^
366,300,/
311,28,*
-489,304,*
-353,25,-
342,-435,/
-305,-21,-
316,230,+
-319,42,*
-261,113,*
204,210,*
-289,298,+
-346,4,^
-322,-270,-
-305,-332,-
471,197,*
-26,198,-
221,-249,*
299,14,**
-379,-408,/
437,11,**
128,-432,*
300,79,/
-282,-311,+
55,13,**
-146,-181,*
-144,381,/
-352,88,/
-264,-87,*
97,15,*
-365,6,**
-283,3,**
-358,26,**
329,262,+
132,8,^
-339,-135,-
-305,-81,-
101,-162,*
-203,415,+
386,11,**
201,5,^
405,-392,-
263,297,*
-28,-83,+
-444,-346,*
-347,252,/
145,-167,-
420,128,/
-302,38,*
496,69,+
-325,-480,*
-483,7,**
-186,-443,/
297,5,**
-223,11,**
-144,11,**
38,281,*
-344,14,**
472,10,^
290,467,+
-313,270,*
-210,142,/
362,-78,-
454,3,**
-454,273,*
58,16,**
-393,-278,*
-119,91,-
125,5,^
-119,4,^
-279,482,*
160,-433,*
-252,-288,*
-224,359,*
-477,5,**
-299,-309,*
459,41,/
-331,318,*
312,-68,-
324,11,^
-119,118,-
-21,308,-
-403,16,*
353,221,/
-189,344,*
-168,202,-
-252,8,**
235,11,**
-91,223,/
19,27,/
-427,-454,*
-230,-355,+
-486,121,*
166,14,**
223,15,/
-20,394,+
-35,9,**
299,68,*
395,10,**
-102,12,**
219,237,*
-96,424,*
65,-442,*
-9,-400,/
-44,82,**
183,-110,/
261,5,^
10,-227,/
249,-387,/
159,5,^
202,-394,*
-302,-268,*
366,10,**
285,14,**
-307,314,*
336,-194,*
-268,268,/
223,29,**
-5,14,^
317,316,/
68,-81,/
498,6,**
18,301,+
15,49,/
320,-148,-
-306,9,**
217,187,*
367,-448,-
-467,351,+
-237,-51,/
-98,-246,+
227,117,-
389,113,+
-266,6,**
184,9,^
443,-325,-
129,-240,/
-45,4,**
-418,-426,+
34,-13,+
198,34,-
-490,4,**
346,208,*
-86,-371,*
321,286,/
-321,-265,-
-335,116,-
-116,10,**
-259,-227,*
-108,-230,*
-333,-456,*
-96,356,/
94,66,^
115,265,*
-296,-232,*
205,5,**
-99,11,**
-100,453,-
338,-73,+
-427,-227,/
-464,15,**
-257,404,+
392,-5,-
-387,-429,-
-349,12,**
495,49,+
-28,-275,-
405,448,*
-424,-306,*
14,7,^
167,4,**
-356,305,-
-16,308,*
352,294,-
366,13,**
164,371,-
425,79,+
114,459,*
6,12,**
-396,-21,-
-186,15,^
118,384,*
166,495,*
184,127,-
396,-2,/
158,231,-
-85,90,**
-481,150,/
100,285,/
-67,75,**
-327,9,**
-459,-227,*
-102,8,**
174,-418,-
-448,15,**
321,-27,*
420,5,^
246,269,/
-74,-285,-
23,494,*
43,493,*
-10,71,+
365,-21,/
-123,12,**
-445,388,*
-25,9,^
467,-306,*
-324,156,+
-439,389,*
175,386,/
-98,455,*
-276,-363,/
-482,-172,+
396,-116,-
321,480,-
-415,262,-
-172,458,/
85,-128,/
391,-58,+
-386,-202,/
-190,-321,+
38,61,^
-211,3,**
-239,-411,-
296,-26,/
-41,7,**
-308,-380,/
336,-347,*
241,465,+
-113,-345,*
-110,-238,*
-4,-208,+
-371,14,^
-148,-277,+
423,-90,-
-105,-414,-
181,480,*
-435,15,^
322,78,*
-93,-208,-
-297,327,*
-481,-90,/
-51,35,**
487,437,-
107,-406,*
-246,242,-
-262,211,-
-261,-185,/
-130,15,**
-350,4,^
310,-26,-
392,398,*
-189,6,^
289,9,**
444,142,/
303,-152,*
226,-181,-
133,14,**
130,358,/
-395,-241,+
350,360,/
-44,-103,+
-213,20,**
-211,15,**
-240,12,^
-499,35,/
-421,474,*
146,141,+
-329,60,*
300,83,**
449,169,/
189,34,*
-59,8,**
-251,8,**
-30,-336,/
-40,11,**
222,12,**
-148,218,+
265,192,/
